agno|grado|cod_reg|nom_reg|prom_lect8b_reg|prom_mate8b_reg|prom_soc8b_reg|dif_lect8b_reg|dif_mate8b_reg|dif_soc8b_reg|sigdif_lect8b_reg|sigdif_mate8b_reg|sigdif_soc8b_reg|fecha_bbdd|codigo_bbdd
2019|8b|1|Región de Tarapacá|237|255|243|-2|2|-14|0|0|-1|20200807|final20200807v1
2019|8b|2|Región de Antofagasta|241|257|246|-3|4|-10|0|0|-1|20200807|final20200807v1
2019|8b|3|Región de Atacama|233|248|242|-7|2|-8|-1|0|-1|20200807|final20200807v1
2019|8b|4|Región de Coquimbo|241|259|251|-2|4|-7|0|0|-1|20200807|final20200807v1
2019|8b|5|Región de Valparaíso|238|259|247|-4|1|-13|0|0|-1|20200807|final20200807v1
2019|8b|6|Región del Libertador Bernardo O'higgins|240|259|251|-4|2|-9|0|0|-1|20200807|final20200807v1
2019|8b|7|Región del Maule|243|264|253|-3|3|-8|0|0|-1|20200807|final20200807v1
2019|8b|8|Región del Biobío|242|263|249|-1|5|-9|0|0|-1|20200807|final20200807v1
2019|8b|9|Región de La Araucanía|239|254|248|-3|4|-9|0|0|-1|20200807|final20200807v1
2019|8b|10|Región de Los Lagos|243|260|250|-1|4|-7|0|0|-1|20200807|final20200807v1
2019|8b|11|Región de Aysén del General Carlos Ibañez del Campo|237|257|249|-3|-1|-6|0|0|0|20200807|final20200807v1
2019|8b|12|Región de Magallanes y de la Antártica Chilena|242|258|249|-3|0|-12|0|0|-1|20200807|final20200807v1
2019|8b|13|Región Metropolitana de Santiago|242|268|253|-4|2|-12|0|0|-1|20200807|final20200807v1
2019|8b|14|Región de los Ríos|242|254|248|-2|2|-9|0|0|-1|20200807|final20200807v1
2019|8b|15|Región de Arica y Parinacota|243|268|253|1|5|-11|0|0|-1|20200807|final20200807v1
2019|8b|16|Región de Ñuble|241|261|250|-2|5|-9|0|0|-1|20200807|final20200807v1
